Date,Price
19/04/2022,77496
20/04/2022,77496
21/04/2022,77247
22/04/2022,77397
25/04/2022,71982
26/04/2022,73919
27/04/2022,73124
28/04/2022,72031
29/04/2022,74118
04/05/2022,74267
05/05/2022,74217
06/05/2022,72826
09/05/2022,67759
10/05/2022,69597
11/05/2022,70044
12/05/2022,66766
13/05/2022,62146
16/05/2022,61103
17/05/2022,65375
18/05/2022,66319
19/05/2022,66070
20/05/2022,66567
23/05/2022,64977
24/05/2022,66070
25/05/2022,69051
26/05/2022,69051
27/05/2022,72876
30/05/2022,72131
31/05/2022,71982
01/06/2022,72280
02/06/2022,73373
03/06/2022,76105
06/06/2022,76850
07/06/2022,76500
08/06/2022,76700
09/06/2022,76400
10/06/2022,75000
13/06/2022,70000
14/06/2022,71750
15/06/2022,73850
16/06/2022,79000
17/06/2022,77700
20/06/2022,73900
21/06/2022,73500
22/06/2022,69800
23/06/2022,72500
24/06/2022,71900
27/06/2022,71500
28/06/2022,72800
29/06/2022,73000
30/06/2022,71500
01/07/2022,70300
04/07/2022,67800
05/07/2022,65500
06/07/2022,64000
07/07/2022,64000
08/07/2022,65000
11/07/2022,64500
12/07/2022,64400
13/07/2022,63600
14/07/2022,62600
15/07/2022,61500
18/07/2022,61000
19/07/2022,60000
20/07/2022,61200
21/07/2022,64100
22/07/2022,64500
25/07/2022,63300
26/07/2022,63000
27/07/2022,62100
28/07/2022,62000
29/07/2022,61000
01/08/2022,61300
02/08/2022,62000
03/08/2022,61800
04/08/2022,62700
05/08/2022,62700
08/08/2022,62900
09/08/2022,63300
10/08/2022,63600
11/08/2022,63000
12/08/2022,63000
15/08/2022,65000
16/08/2022,66000
17/08/2022,65000
18/08/2022,64500
19/08/2022,64100
22/08/2022,66500
23/08/2022,66900
24/08/2022,66800
25/08/2022,68400
26/08/2022,72200
29/08/2022,74000
30/08/2022,73300
31/08/2022,74000
05/09/2022,72500
06/09/2022,72900
07/09/2022,70700
08/09/2022,71500
09/09/2022,72000
12/09/2022,74000
13/09/2022,74100
14/09/2022,73700
15/09/2022,73900
16/09/2022,72000
19/09/2022,70500
20/09/2022,71700
21/09/2022,70000
22/09/2022,70100
23/09/2022,69400
26/09/2022,68000
27/09/2022,67100
28/09/2022,65000
29/09/2022,64000
30/09/2022,64000
03/10/2022,59600
04/10/2022,61000
05/10/2022,62200
06/10/2022,58000
07/10/2022,54000
10/10/2022,57100
11/10/2022,55400
12/10/2022,57500
13/10/2022,57600
14/10/2022,59900
17/10/2022,58900
18/10/2022,59000
19/10/2022,59000
20/10/2022,58400
21/10/2022,54400
24/10/2022,50600
25/10/2022,52000
26/10/2022,51900
27/10/2022,53300
28/10/2022,53200
31/10/2022,51600
01/11/2022,50100
02/11/2022,48000
03/11/2022,49500
04/11/2022,46050
07/11/2022,42850
08/11/2022,44600
09/11/2022,45500
10/11/2022,42350
11/11/2022,43000
14/11/2022,40650
15/11/2022,37850
16/11/2022,40450
17/11/2022,41800
18/11/2022,42150
21/11/2022,40650
22/11/2022,40200
23/11/2022,40500
24/11/2022,37700
25/11/2022,37800
28/11/2022,40150
29/11/2022,42800
30/11/2022,44100
01/12/2022,44050
02/12/2022,47000
05/12/2022,47600
06/12/2022,44350
07/12/2022,44850
08/12/2022,46000
09/12/2022,46200
12/12/2022,45900
13/12/2022,46400
14/12/2022,46450
15/12/2022,47000
16/12/2022,47850
19/12/2022,47150
20/12/2022,46500
21/12/2022,46400
22/12/2022,46500
23/12/2022,45800
26/12/2022,42600
27/12/2022,43800
28/12/2022,43000
29/12/2022,42900
30/12/2022,42900
03/01/2023,43950
04/01/2023,43500
05/01/2023,43600
06/01/2023,43150
09/01/2023,42000
10/01/2023,42200
11/01/2023,42550
12/01/2023,42100
13/01/2023,42050
16/01/2023,41900
17/01/2023,43050
18/01/2023,44950
19/01/2023,45600
27/01/2023,45900
30/01/2023,46200
31/01/2023,46500
01/02/2023,47100
02/02/2023,49900
03/02/2023,47800
06/02/2023,47150
07/02/2023,45700
08/02/2023,44500
09/02/2023,44000
10/02/2023,42100
13/02/2023,42500
14/02/2023,42500
15/02/2023,42750
16/02/2023,43300
17/02/2023,43250
20/02/2023,44300
21/02/2023,44500
22/02/2023,43000
23/02/2023,43000
24/02/2023,42100
27/02/2023,40500
28/02/2023,40000
01/03/2023,40800
02/03/2023,40300
03/03/2023,39400
06/03/2023,39400
07/03/2023,39700
08/03/2023,39400
09/03/2023,40000
10/03/2023,39750
13/03/2023,39400
14/03/2023,38600
15/03/2023,40000
16/03/2023,39400
17/03/2023,39400
20/03/2023,38100
21/03/2023,38500
22/03/2023,37950
23/03/2023,37800
24/03/2023,37950
27/03/2023,38100
28/03/2023,39100
29/03/2023,38700
30/03/2023,38600
31/03/2023,38550
03/04/2023,39000
04/04/2023,39800
05/04/2023,39750
06/04/2023,39100
07/04/2023,39000
10/04/2023,41000
11/04/2023,40700
12/04/2023,40750
13/04/2023,41050
14/04/2023,40000
17/04/2023,39850
18/04/2023,40000
